campaign_id,campaign_name,channel,cost,start_date,end_date
275203,NerdWallet Partnership,affiliate,3562.63,2024-02-18,2024-03-19
221958,Credit Karma Placement,affiliate,3557.06,2023-01-22,2023-02-21
154886,Google Brand Search,paid_search,3648.54,2024-04-19,2024-06-18
291335,Personal Finance Blog Network,affiliate,2931.77,2023-07-09,2023-08-08
359178,Google Search - Invest App,paid_search,3371.07,2023-12-30,2024-02-28
818315,Google Brand Search,paid_search,5133.48,2023-01-21,2023-03-22
237337,Apple Search Ads - Fintech,paid_search,3242.97,2023-03-30,2023-09-26
887201,Personal Finance Blog Network,affiliate,8158.2,2023-12-06,2024-01-05
141090,Apple Search Ads - Fintech,paid_search,7646.45,2024-03-03,2024-05-02
465838,LinkedIn - SMB Finance,social,2031.46,2024-01-25,2024-02-24
832180,NerdWallet Partnership,affiliate,5471.77,2024-04-21,2024-10-18
429365,SEO - Comparison Pages,organic,0.0,2024-03-31,2024-05-30
378167,TikTok - Budget Challenge,social,7886.33,2023-09-09,2023-10-09
771155,Bing Search - Savings,paid_search,8686.4,2023-07-27,2023-10-25
164820,Google Search - Invest App,paid_search,6722.46,2024-05-07,2024-06-06
421879,Bing Search - Savings,paid_search,7910.86,2023-10-16,2023-12-15
210268,NerdWallet Partnership,affiliate,4322.36,2023-02-10,2023-08-09
744167,Personal Finance Blog Network,affiliate,9102.23,2024-02-11,2024-05-11
187498,Google Search - Invest App,paid_search,4591.43,2023-06-21,2023-08-20
621430,Bing Search - Savings,paid_search,8395.28,2024-04-06,2024-08-04
999159,Organic Referral Program,organic,0.0,2023-09-12,2023-10-27
231932,NerdWallet Partnership,affiliate,3721.01,2023-10-10,2023-12-09
